CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Hayden Hansen (31249597),Hayden Hansen,31249597,UTIL,1200,FSU@UF 11/25/2023 07:00PM ET,UF,4.7
,,,,,,,WR,Kentron Poitier (31249598),Kentron Poitier,31249598,UTIL,1200,FSU@UF 11/25/2023 07:00PM ET,FSU,3.6
,,,,,,,RB,Caziah Holmes (31249599),Caziah Holmes,31249599,UTIL,1200,FSU@UF 11/25/2023 07:00PM ET,FSU,7.03
,,,,,,,WR,Aidan Mizell (31249600),Aidan Mizell,31249600,UTIL,1200,FSU@UF 11/25/2023 07:00PM ET,UF,4.5
,,,,,,,WR,Ja'Quavion Fraziars (31249601),Ja'Quavion Fraziars,31249601,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,2.1
,,,,,,,WR,Keon Zipperer (31249602),Keon Zipperer,31249602,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Jeremiah Giedrys (31249603),Jeremiah Giedrys,31249603,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,RB,Eddie Battle (31249604),Eddie Battle,31249604,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0.2
,,,,,,,RB,Demetric Stephens (31249605),Demetric Stephens,31249605,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Goldie Lawrence (31249606),Goldie Lawrence,31249606,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Brian Green Jr. (31249607),Brian Green Jr.,31249607,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Jonathan Odom (31249608),Jonathan Odom,31249608,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,4.12
,,,,,,,WR,Alex Gonzalez (31249609),Alex Gonzalez,31249609,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Zak Sedaros (31249610),Zak Sedaros,31249610,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Andrew Savaiinaea (31249611),Andrew Savaiinaea,31249611,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Xavier Johnson (31249612),Xavier Johnson,31249612,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Dante Zanders (31249613),Dante Zanders,31249613,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0.9
,,,,,,,WR,Carson Pielock (31249614),Carson Pielock,31249614,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,RB,Carlson Joseph (31249615),Carlson Joseph,31249615,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,1.5
,,,,,,,RB,Cam Carroll (31249616),Cam Carroll,31249616,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Brian Courtney (31249617),Brian Courtney,31249617,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,1
,,,,,,,WR,Jackson Wade (31249618),Jackson Wade,31249618,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Joshua Burrell (31249619),Joshua Burrell,31249619,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Vance Nicklaus (31249620),Vance Nicklaus,31249620,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Scott Isacks (31249621),Scott Isacks,31249621,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Jaden Edgecombe (31249622),Jaden Edgecombe,31249622,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Solomon Lowery Jr. (31249623),Solomon Lowery Jr.,31249623,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,RB,CJ Campbell Jr. (31249624),CJ Campbell Jr.,31249624,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,2.95
,,,,,,,RB,Samuel Singleton Jr. (31249625),Samuel Singleton Jr.,31249625,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,5.2
,,,,,,,WR,Tony Livingston (31249626),Tony Livingston,31249626,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,1.4
,,,,,,,RB,Ja'Kobi Jackson (31249627),Ja'Kobi Jackson,31249627,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Zamari McKenley (31249628),Zamari McKenley,31249628,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,RB,Anthony Rubio (31249629),Anthony Rubio,31249629,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Jackson West (31249630),Jackson West,31249630,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Jerrale Powers (31249631),Jerrale Powers,31249631,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Jimmy Casey (31249632),Jimmy Casey,31249632,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Daniel Cross (31249633),Daniel Cross,31249633,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Darion Williamson (31249634),Darion Williamson,31249634,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,FSU,3.65
,,,,,,,WR,Taylor Spierto (31249635),Taylor Spierto,31249635,UTIL,1000,FSU@UF 11/25/2023 07:00PM ET,UF,1.85
